epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1936.88,1.32927,1.43465,1.55866,0.45478,0.45927,0.44867,0.2669,1.4012,1.69784,1.72726,0.000673887,0.000673887,0.000673887
85,3420.7,1.32418,1.40439,1.55095,0.43762,0.41738,0.44552,0.26926,1.4091,1.63522,1.71598,0.000642139,0.000642139,0.000642139
86,4872.83,1.31879,1.40927,1.54073,0.67965,0.3889,0.45564,0.28315,1.38891,1.61202,1.68774,0.000610989,0.000610989,0.000610989
87,2033.12,1.24895,1.32709,1.50039,0.49033,0.45387,0.47023,0.28707,1.3934,1.61294,1.69603,0.000580459,0.000580459,0.000580459
88,3394.67,1.2616,1.31757,1.50758,0.48766,0.443,0.46066,0.27861,1.40426,1.60321,1.70553,0.00055057,0.00055057,0.00055057
89,4747.8,1.26802,1.33716,1.50743,0.58769,0.40304,0.45187,0.28196,1.39089,1.59963,1.68943,0.000521341,0.000521341,0.000521341
90,6089.75,1.3256,1.39467,1.53677,0.50789,0.45055,0.46221,0.28091,1.3963,1.60253,1.67905,0.000492793,0.000492793,0.000492793
91,7458,1.31244,1.38615,1.52848,0.52278,0.4128,0.45531,0.28011,1.38919,1.63043,1.67698,0.000464946,0.000464946,0.000464946
92,8826.03,1.32337,1.37661,1.53661,0.50006,0.46285,0.46066,0.28075,1.39915,1.61163,1.67828,0.000437819,0.000437819,0.000437819
93,10178,1.29631,1.37857,1.52915,0.50589,0.4639,0.47426,0.2973,1.38807,1.6023,1.677,0.00041143,0.00041143,0.00041143
94,11527.9,1.30843,1.35989,1.52425,0.50982,0.46302,0.48217,0.29354,1.39176,1.5698,1.68373,0.000385797,0.000385797,0.000385797
95,12901.9,1.29952,1.36287,1.52134,0.52517,0.42561,0.4661,0.28523,1.37773,1.61402,1.66656,0.000360938,0.000360938,0.000360938
96,14247.8,1.28348,1.32404,1.50502,0.46473,0.47962,0.46972,0.28906,1.37696,1.60457,1.66106,0.00033687,0.00033687,0.00033687
97,15600.8,1.29038,1.35502,1.52003,0.53734,0.43398,0.47262,0.29295,1.3799,1.57019,1.66289,0.00031361,0.00031361,0.00031361
98,2120.14,1.20869,1.26774,1.4679,0.53986,0.46,0.47332,0.29137,1.38299,1.59265,1.67538,0.000291173,0.000291173,0.000291173
99,3586.49,1.22539,1.25629,1.47941,0.48553,0.4635,0.47218,0.29093,1.3909,1.58876,1.68723,0.000269574,0.000269574,0.000269574
100,5045.12,1.22925,1.26652,1.47834,0.4948,0.46446,0.48502,0.30179,1.39045,1.57728,1.68562,0.000248829,0.000248829,0.000248829
101,6507.02,1.26575,1.30547,1.49627,0.52798,0.44335,0.48364,0.29685,1.39144,1.56965,1.68141,0.000228952,0.000228952,0.000228952
102,7990.43,1.25481,1.29911,1.49175,0.4909,0.44112,0.47397,0.29295,1.38507,1.59126,1.67429,0.000209957,0.000209957,0.000209957
103,9465.42,1.27335,1.29778,1.50484,0.50997,0.44758,0.47595,0.29185,1.38571,1.58528,1.67351,0.000191855,0.000191855,0.000191855
104,10934.1,1.24516,1.29759,1.49515,0.53576,0.4428,0.48447,0.29883,1.38206,1.55384,1.67085,0.000174661,0.000174661,0.000174661
105,12406.7,1.26041,1.28615,1.49364,0.51893,0.44093,0.47901,0.29473,1.3846,1.55548,1.67584,0.000158385,0.000158385,0.000158385
106,13874.3,1.25551,1.29442,1.49408,0.46603,0.46676,0.47472,0.29185,1.38253,1.5848,1.67352,0.000143039,0.000143039,0.000143039
107,3019.37,1.17566,1.21814,1.44579,0.5078,0.44358,0.47475,0.29211,1.38301,1.58114,1.67216,0.000128633,0.000128633,0.000128633
108,4421.07,1.19706,1.21416,1.45903,0.49066,0.4445,0.46999,0.28879,1.38726,1.57396,1.67849,0.000115177,0.000115177,0.000115177
109,5816.48,1.19735,1.22459,1.45929,0.52529,0.44528,0.4809,0.29505,1.39127,1.57766,1.68294,0.000102681,0.000102681,0.000102681
110,7209.17,1.23364,1.26112,1.4751,0.52788,0.44882,0.48137,0.29505,1.39267,1.58151,1.68381,9.11527e-05,9.11527e-05,9.11527e-05
111,8625.97,1.29955,1.27439,1.54935,0.49289,0.46688,0.47271,0.29027,1.39188,1.57374,1.6861,8.06001e-05,8.06001e-05,8.06001e-05
112,10027.8,1.26458,1.19511,1.52519,0.47957,0.47934,0.48782,0.30254,1.37577,1.50576,1.67439,7.10307e-05,7.10307e-05,7.10307e-05
113,11441.8,1.2608,1.1843,1.52347,0.46391,0.4859,0.48836,0.30355,1.36894,1.48358,1.66541,6.24508e-05,6.24508e-05,6.24508e-05
114,12864.2,1.24436,1.15984,1.50736,0.47911,0.48609,0.49399,0.30713,1.36443,1.48785,1.66253,5.48665e-05,5.48665e-05,5.48665e-05
115,14286.1,1.25082,1.15567,1.51266,0.48642,0.48473,0.49464,0.30612,1.36521,1.49099,1.66312,4.82828e-05,4.82828e-05,4.82828e-05
116,15693.6,1.25323,1.16113,1.51573,0.48494,0.48869,0.49544,0.30619,1.36426,1.48278,1.66087,4.27044e-05,4.27044e-05,4.27044e-05
117,17098.2,1.2528,1.16235,1.50578,0.49289,0.48988,0.50505,0.31116,1.36091,1.47611,1.65911,3.8135e-05,3.8135e-05,3.8135e-05
118,18500.4,1.24422,1.13996,1.50415,0.45616,0.51572,0.5265,0.32379,1.35913,1.47637,1.65593,3.45778e-05,3.45778e-05,3.45778e-05
119,19915.3,1.24484,1.15797,1.51501,0.45527,0.52561,0.52781,0.32504,1.3596,1.47034,1.65674,3.20351e-05,3.20351e-05,3.20351e-05
120,21318.9,1.24006,1.13786,1.50855,0.45257,0.53083,0.5264,0.32404,1.35935,1.47551,1.65629,3.05089e-05,3.05089e-05,3.05089e-05
